,class_name,next_class_name
0,android.arch.core.executor.AppToolkitTaskExecutor,androidx.arch.core.executor.AppToolkitTaskExecutor
1,android.arch.core.executor.ArchTaskExecutor,androidx.arch.core.executor.ArchTaskExecutor
2,android.arch.core.executor.DefaultTaskExecutor,androidx.arch.core.executor.DefaultTaskExecutor
3,android.arch.core.executor.JunitTaskExecutorRule,androidx.arch.core.executor.JunitTaskExecutorRule
4,android.arch.core.executor.TaskExecutor,androidx.arch.core.executor.TaskExecutor
5,android.arch.core.executor.TaskExecutorWithFakeMainThread,androidx.arch.core.executor.TaskExecutorWithFakeMainThread
6,android.arch.core.executor.testing.CountingTaskExecutorRule,androidx.arch.core.executor.testing.CountingTaskExecutorRule
7,android.arch.core.executor.testing.InstantTaskExecutorRule,androidx.arch.core.executor.testing.InstantTaskExecutorRule
8,android.arch.core.internal.FastSafeIterableMap,androidx.arch.core.internal.FastSafeIterableMap
9,android.arch.core.internal.SafeIterableMap,androidx.arch.core.internal.SafeIterableMap
10,android.arch.core.util.Function,androidx.arch.core.util.Function
11,android.arch.lifecycle.AndroidViewModel,androidx.lifecycle.AndroidViewModel
12,android.arch.lifecycle.ClassesInfoCache,androidx.lifecycle.ClassesInfoCache
13,android.arch.lifecycle.CompositeGeneratedAdaptersObserver,androidx.lifecycle.CompositeGeneratedAdaptersObserver
14,android.arch.lifecycle.ComputableLiveData,androidx.lifecycle.ComputableLiveData
15,android.arch.lifecycle.DefaultLifecycleObserver,androidx.lifecycle.DefaultLifecycleObserver
16,android.arch.lifecycle.Elements_extKt,androidx.lifecycle.Elements_extKt
17,android.arch.lifecycle.EmptyActivityLifecycleCallbacks,androidx.lifecycle.EmptyActivityLifecycleCallbacks
18,android.arch.lifecycle.ErrorMessages,androidx.lifecycle.ErrorMessages
19,android.arch.lifecycle.FullLifecycleObserver,androidx.lifecycle.FullLifecycleObserver
20,android.arch.lifecycle.FullLifecycleObserverAdapter,androidx.lifecycle.FullLifecycleObserverAdapter
21,android.arch.lifecycle.GeneratedAdapter,androidx.lifecycle.GeneratedAdapter
22,android.arch.lifecycle.GenericLifecycleObserver,androidx.lifecycle.GenericLifecycleObserver
23,android.arch.lifecycle.HolderFragment,androidx.lifecycle.HolderFragment
24,android.arch.lifecycle.Input_collectorKt,androidx.lifecycle.Input_collectorKt
25,android.arch.lifecycle.Lifecycle,androidx.lifecycle.Lifecycle
26,android.arch.lifecycle.LifecycleDispatcher,androidx.lifecycle.LifecycleDispatcher
27,android.arch.lifecycle.LifecycleObserver,androidx.lifecycle.LifecycleObserver
28,android.arch.lifecycle.LifecycleOwner,androidx.lifecycle.LifecycleOwner
29,android.arch.lifecycle.LifecycleProcessor,androidx.lifecycle.LifecycleProcessor
30,android.arch.lifecycle.LifecycleRegistry,androidx.lifecycle.LifecycleRegistry
31,android.arch.lifecycle.LifecycleRegistryOwner,androidx.lifecycle.LifecycleRegistryOwner
32,android.arch.lifecycle.LifecycleService,androidx.lifecycle.LifecycleService
33,android.arch.lifecycle.Lifecycling,androidx.lifecycle.Lifecycling
34,android.arch.lifecycle.LiveData,androidx.lifecycle.LiveData
35,android.arch.lifecycle.LiveDataReactiveStreams,androidx.lifecycle.LiveDataReactiveStreams
36,android.arch.lifecycle.MediatorLiveData,androidx.lifecycle.MediatorLiveData
37,android.arch.lifecycle.MethodCallsLogger,androidx.lifecycle.MethodCallsLogger
38,android.arch.lifecycle.model.AdapterClass,androidx.lifecycle.model.AdapterClass
39,android.arch.lifecycle.model.AdapterClassKt,androidx.lifecycle.model.AdapterClassKt
40,android.arch.lifecycle.model.EventMethod,androidx.lifecycle.model.EventMethod
41,android.arch.lifecycle.model.EventMethodCall,androidx.lifecycle.model.EventMethodCall
42,android.arch.lifecycle.model.InputModel,androidx.lifecycle.model.InputModel
43,android.arch.lifecycle.model.LifecycleObserverInfo,androidx.lifecycle.model.LifecycleObserverInfo
44,android.arch.lifecycle.MutableLiveData,androidx.lifecycle.MutableLiveData
45,android.arch.lifecycle.Observer,androidx.lifecycle.Observer
46,android.arch.lifecycle.ObserversCollector,androidx.lifecycle.ObserversCollector
47,android.arch.lifecycle.OnLifecycleEvent,androidx.lifecycle.OnLifecycleEvent
48,android.arch.lifecycle.ProcessLifecycleOwner,androidx.lifecycle.ProcessLifecycleOwner
49,android.arch.lifecycle.ProcessLifecycleOwnerInitializer,androidx.lifecycle.ProcessLifecycleOwnerInitializer
50,android.arch.lifecycle.ReflectiveGenericLifecycleObserver,androidx.lifecycle.ReflectiveGenericLifecycleObserver
51,android.arch.lifecycle.ReportFragment,androidx.lifecycle.ReportFragment
52,android.arch.lifecycle.ServiceLifecycleDispatcher,androidx.lifecycle.ServiceLifecycleDispatcher
53,android.arch.lifecycle.SingleGeneratedAdapterObserver,androidx.lifecycle.SingleGeneratedAdapterObserver
54,android.arch.lifecycle.TransformationKt,androidx.lifecycle.TransformationKt
55,android.arch.lifecycle.Transformations,androidx.lifecycle.Transformations
56,android.arch.lifecycle.Validator,androidx.lifecycle.Validator
57,android.arch.lifecycle.ViewModel,androidx.lifecycle.ViewModel
58,android.arch.lifecycle.ViewModelProvider,androidx.lifecycle.ViewModelProvider
59,android.arch.lifecycle.ViewModelProviders,androidx.lifecycle.ViewModelProviders
60,android.arch.lifecycle.ViewModelStore,androidx.lifecycle.ViewModelStore
61,android.arch.lifecycle.ViewModelStoreOwner,androidx.lifecycle.ViewModelStoreOwner
62,android.arch.lifecycle.ViewModelStores,androidx.lifecycle.ViewModelStores
63,android.arch.lifecycle.WriterKt,androidx.lifecycle.WriterKt
64,android.arch.paging.AsyncPagedListDiffer,androidx.paging.AsyncPagedListDiffer
65,android.arch.paging.ContiguousDataSource,androidx.paging.ContiguousDataSource
66,android.arch.paging.ContiguousPagedList,androidx.paging.ContiguousPagedList
67,android.arch.paging.DataSource,androidx.paging.DataSource
68,android.arch.paging.ItemKeyedDataSource,androidx.paging.ItemKeyedDataSource
69,android.arch.paging.ListDataSource,androidx.paging.ListDataSource
70,android.arch.paging.LivePagedListBuilder,androidx.paging.LivePagedListBuilder
71,android.arch.paging.LivePagedListProvider,androidx.paging.LivePagedListProvider
72,android.arch.paging.PagedList,androidx.paging.PagedList
73,android.arch.paging.PagedListAdapter,androidx.paging.PagedListAdapter
74,android.arch.paging.PagedStorage,androidx.paging.PagedStorage
75,android.arch.paging.PagedStorageDiffHelper,androidx.paging.PagedStorageDiffHelper
76,android.arch.paging.PageKeyedDataSource,androidx.paging.PageKeyedDataSource
77,android.arch.paging.PageResult,androidx.paging.PageResult
78,android.arch.paging.PositionalDataSource,androidx.paging.PositionalDataSource
79,android.arch.paging.RxPagedListBuilder,androidx.paging.RxPagedListBuilder
80,android.arch.paging.SnapshotPagedList,androidx.paging.SnapshotPagedList
81,android.arch.paging.TiledDataSource,androidx.paging.TiledDataSource
82,android.arch.paging.TiledPagedList,androidx.paging.TiledPagedList
83,android.arch.paging.WrapperItemKeyedDataSource,androidx.paging.WrapperItemKeyedDataSource
84,android.arch.paging.WrapperPageKeyedDataSource,androidx.paging.WrapperPageKeyedDataSource
85,android.arch.paging.WrapperPositionalDataSource,androidx.paging.WrapperPositionalDataSource
86,android.arch.persistence.db.framework.FrameworkSQLiteDatabase,androidx.sqlite.db.framework.FrameworkSQLiteDatabase
87,android.arch.persistence.db.framework.FrameworkSQLiteOpenHelper,androidx.sqlite.db.framework.FrameworkSQLiteOpenHelper
88,android.arch.persistence.db.framework.FrameworkSQLiteOpenHelperFactory,androidx.sqlite.db.framework.FrameworkSQLiteOpenHelperFactory
89,android.arch.persistence.db.framework.FrameworkSQLiteProgram,androidx.sqlite.db.framework.FrameworkSQLiteProgram
90,android.arch.persistence.db.framework.FrameworkSQLiteStatement,androidx.sqlite.db.framework.FrameworkSQLiteStatement
91,android.arch.persistence.db.SimpleSQLiteQuery,androidx.sqlite.db.SimpleSQLiteQuery
92,android.arch.persistence.db.SupportSQLiteDatabase,androidx.sqlite.db.SupportSQLiteDatabase
93,android.arch.persistence.db.SupportSQLiteOpenHelper,androidx.sqlite.db.SupportSQLiteOpenHelper
94,android.arch.persistence.db.SupportSQLiteProgram,androidx.sqlite.db.SupportSQLiteProgram
95,android.arch.persistence.db.SupportSQLiteQuery,androidx.sqlite.db.SupportSQLiteQuery
96,android.arch.persistence.db.SupportSQLiteQueryBuilder,androidx.sqlite.db.SupportSQLiteQueryBuilder
97,android.arch.persistence.db.SupportSQLiteStatement,androidx.sqlite.db.SupportSQLiteStatement
98,android.arch.persistence.room.ColumnInfo,androidx.room.ColumnInfo
99,android.arch.persistence.room.Dao,androidx.room.Dao
100,android.arch.persistence.room.Database,androidx.room.Database
101,android.arch.persistence.room.DatabaseConfiguration,androidx.room.DatabaseConfiguration
102,android.arch.persistence.room.Delete,androidx.room.Delete
103,android.arch.persistence.room.Embedded,androidx.room.Embedded
104,android.arch.persistence.room.EmptyResultSetException,androidx.room.EmptyResultSetException
105,android.arch.persistence.room.Entity,androidx.room.Entity
106,android.arch.persistence.room.EntityDeletionOrUpdateAdapter,androidx.room.EntityDeletionOrUpdateAdapter
107,android.arch.persistence.room.EntityInsertionAdapter,androidx.room.EntityInsertionAdapter
108,android.arch.persistence.room.ext.AndroidTypeNames,androidx.room.ext.AndroidTypeNames
109,android.arch.persistence.room.ext.ArchTypeNames,androidx.room.ext.ArchTypeNames
110,android.arch.persistence.room.ext.CommonTypeNames,androidx.room.ext.CommonTypeNames
111,android.arch.persistence.room.ext.Element_extKt,androidx.room.ext.Element_extKt
112,android.arch.persistence.room.ext.GuavaBaseTypeNames,androidx.room.ext.GuavaBaseTypeNames
113,android.arch.persistence.room.ext.GuavaUtilConcurrentTypeNames,androidx.room.ext.GuavaUtilConcurrentTypeNames
114,android.arch.persistence.room.ext.Javapoet_extKt,androidx.room.ext.Javapoet_extKt
115,android.arch.persistence.room.ext.KotlinMetadataProcessor,androidx.room.ext.KotlinMetadataProcessor
116,android.arch.persistence.room.ext.LifecyclesTypeNames,androidx.room.ext.LifecyclesTypeNames
117,android.arch.persistence.room.ext.PagingTypeNames,androidx.room.ext.PagingTypeNames
118,android.arch.persistence.room.ext.ReactiveStreamsTypeNames,androidx.room.ext.ReactiveStreamsTypeNames
